username,category,posts_per_week,follower_growth_rate_per_day,follow_follower_ratio,avg_likes_per_post,avg_comments_per_post,avg_time_between_posts_hrs,outbound_likes_per_day,outbound_comments_per_day
@user439,tech,2.0,93.5,0.71,1857,188,84.0,162,28
@user440,art,3.3,44.2,0.35,184,196,50.9,107,10
@user441,fashion,4.2,63.1,0.79,854,6,40.0,76,10
@user442,art,4.1,78.7,0.88,2714,165,41.0,239,14
@user443,fashion,4.8,70.2,0.84,3049,231,35.0,70,10
@user444,fashion,3.2,30.3,0.68,977,165,52.5,202,9
@user445,business,5.0,18.0,0.34,2422,21,33.6,145,20
@user446,travel,1.0,92.2,0.95,713,281,168.0,293,20
@user447,food,1.4,80.2,0.25,1655,281,120.0,106,21
@user448,music,6.5,36.4,0.49,4938,21,25.8,84,43
@user449,tech,5.3,59.3,0.9,2797,242,31.7,17,6
@user450,fashion,6.6,51.2,0.83,4002,291,25.5,205,33
@user451,travel,3.3,96.3,0.65,2303,226,50.9,229,27
@user452,food,4.5,19.0,0.26,2060,223,37.3,99,33
@user453,business,5.6,80.7,0.08,2115,279,30.0,170,36
@user454,art,6.5,87.6,0.99,3509,294,25.8,115,45
@user455,art,3.3,13.4,0.76,3345,214,50.9,132,31
@user456,fashion,5.0,17.7,0.5,2013,192,33.6,147,27
@user457,fitness,1.2,93.0,0.53,2592,238,140.0,60,36
@user458,fitness,3.1,43.0,0.62,4182,92,54.2,20,21
@user459,art,4.2,28.1,0.81,1983,40,40.0,138,34
@user460,fitness,6.2,98.7,0.55,4656,227,27.1,106,32
@user461,travel,5.0,30.8,0.18,2999,17,33.6,182,35
@user462,tech,5.6,66.8,0.41,870,172,30.0,25,4
@user463,business,3.1,49.0,0.68,4598,135,54.2,148,39
@user464,music,6.4,23.7,0.22,197,68,26.2,131,24
@user465,music,2.5,23.7,0.4,4405,23,67.2,46,24
@user466,tech,5.3,34.6,0.42,2825,273,31.7,214,30
@user467,business,3.0,39.7,0.78,4179,18,56.0,262,38
@user468,fitness,3.9,37.7,0.99,4520,51,43.1,194,13
@user469,music,2.6,15.7,0.06,1479,169,64.6,51,37
@user470,travel,5.7,28.3,0.44,227,214,29.5,292,35
@user471,travel,4.0,77.5,0.79,2426,219,42.0,128,14
@user472,food,6.0,22.7,0.12,1634,215,28.0,101,50
@user473,music,0.8,3.2,0.66,4265,171,210.0,47,25
@user474,music,0.7,19.3,0.94,719,232,240.0,221,36
@user475,art,3.7,9.4,0.74,394,19,45.4,226,33
@user476,art,4.7,45.1,0.49,1169,189,35.7,11,16
@user477,food,2.0,36.4,0.39,2974,179,84.0,151,43
@user478,fitness,4.3,52.1,0.14,2548,142,39.1,30,2
@user479,fitness,3.2,66.5,0.71,253,167,52.5,72,47
@user480,business,3.4,29.7,0.3,3455,114,49.4,139,40
@user481,food,6.7,74.1,0.3,2007,150,25.1,281,16
@user482,fitness,4.9,19.6,0.65,1047,123,34.3,63,13
@user483,art,3.5,69.7,0.47,3306,99,48.0,29,12
@user484,fitness,3.0,85.3,0.76,3993,13,56.0,197,20
@user485,music,5.2,60.4,0.49,3726,235,32.3,188,48
@user486,food,6.2,91.3,0.08,943,157,27.1,205,49
@user487,fashion,0.5,56.9,0.18,1859,297,336.0,78,38
@user488,food,4.0,86.4,0.57,1742,22,42.0,217,39
@user489,fashion,3.8,50.6,0.82,1371,251,44.2,109,6
@user490,business,3.3,33.4,0.21,4069,144,50.9,156,35
@user491,fashion,0.7,32.4,0.67,3707,199,240.0,148,43
@user492,business,3.7,7.0,0.31,4072,197,45.4,198,11
@user493,business,5.3,55.8,0.52,2952,67,31.7,50,37
@user494,music,1.4,86.8,0.79,3107,136,120.0,58,30
@user495,fitness,0.6,25.1,0.98,1431,216,280.0,39,50
@user496,music,0.7,10.3,0.52,1763,45,240.0,141,5
@user497,fitness,3.1,78.0,0.98,3148,250,54.2,37,30
@user498,music,5.5,1.8,0.17,205,270,30.5,10,12
@user499,business,3.8,98.3,0.9,274,64,44.2,137,36
@user500,fashion,4.6,64.4,0.74,3648,132,36.5,289,9
